collectionday,propnum,nextwaste,nextrecycle,nextgreen,address
Saturday 2,2000005,28-07-2018,28-07-2018,,45 Acacia Street INVERMAY  VIC  3352
Saturday 2,2000007,28-07-2018,28-07-2018,,14 Acacia Street INVERMAY  VIC  3352
Saturday 2,2000008,28-07-2018,28-07-2018,,24 Acacia Street INVERMAY  VIC  3352
Saturday 2,2000009,28-07-2018,28-07-2018,,44 Acacia Street INVERMAY  VIC  3352
Saturday 2,2000010,28-07-2018,28-07-2018,,34 Acacia Street INVERMAY  VIC  3352
Saturday 2,2000011,28-07-2018,28-07-2018,,73 Acacia Street INVERMAY  VIC  3352
Tuesday 1,2000012,31-07-2018,31-07-2018,07-08-2018,1 Adair Street REDAN  VIC  3350
Tuesday 1,2000013,31-07-2018,31-07-2018,07-08-2018,3 Adair Street REDAN  VIC  3350
Tuesday 1,2000014,31-07-2018,31-07-2018,07-08-2018,5 Adair Street REDAN  VIC  3350
Tuesday 1,2000015,31-07-2018,31-07-2018,07-08-2018,7 Adair Street REDAN  VIC  3350
Tuesday 1,2000016,31-07-2018,31-07-2018,07-08-2018,101 Adair Street REDAN  VIC  3350
Tuesday 1,2000017,31-07-2018,31-07-2018,07-08-2018,103 Adair Street REDAN  VIC  3350
Tuesday 1,2000019,31-07-2018,31-07-2018,07-08-2018,107 Adair Street REDAN  VIC  3350
Friday 2,2000020,27-07-2018,27-07-2018,03-08-2018,109 Adair Street REDAN  VIC  3350
Friday 2,2000021,27-07-2018,27-07-2018,03-08-2018,111 Adair Street REDAN  VIC  3350
Friday 2,2000022,27-07-2018,27-07-2018,,1/113 Adair Street REDAN  VIC  3350
Friday 2,2000023,27-07-2018,27-07-2018,,2/113 Adair Street REDAN  VIC  3350
Friday 2,2000024,27-07-2018,27-07-2018,03-08-2018,115 Adair Street REDAN  VIC  3350
Friday 2,2000026,27-07-2018,27-07-2018,,1/119 Adair Street REDAN  VIC  3350
Friday 2,2000027,27-07-2018,27-07-2018,,2/119 Adair Street REDAN  VIC  3350
Friday 2,2000028,27-07-2018,27-07-2018,,3/119 Adair Street REDAN  VIC  3350
Friday 2,2000029,27-07-2018,27-07-2018,03-08-2018,203A Adair Street REDAN  VIC  3350
Friday 2,2000030,27-07-2018,27-07-2018,03-08-2018,205 Adair Street REDAN  VIC  3350
Friday 2,2000031,27-07-2018,27-07-2018,03-08-2018,207 Adair Street REDAN  VIC  3350
Friday 2,2000033,27-07-2018,27-07-2018,03-08-2018,211 Adair Street REDAN  VIC  3350
Friday 2,2000034,27-07-2018,27-07-2018,03-08-2018,213 Adair Street REDAN  VIC  3350
Friday 2,2000035,27-07-2018,27-07-2018,03-08-2018,215 Adair Street REDAN  VIC  3350
Friday 2,2000036,27-07-2018,27-07-2018,03-08-2018,217 Adair Street REDAN  VIC  3350
Friday 2,2000037,27-07-2018,27-07-2018,03-08-2018,214 Adair Street REDAN  VIC  3350
Friday 2,2000038,27-07-2018,27-07-2018,03-08-2018,212 Adair Street REDAN  VIC  3350
Friday 2,2000039,27-07-2018,27-07-2018,03-08-2018,210 Adair Street REDAN  VIC  3350
Friday 2,2000040,27-07-2018,27-07-2018,03-08-2018,208A Adair Street REDAN  VIC  3350
Friday 2,2000041,27-07-2018,27-07-2018,03-08-2018,208 Adair Street REDAN  VIC  3350
Friday 2,2000043,27-07-2018,27-07-2018,03-08-2018,204 Adair Street REDAN  VIC  3350
Friday 2,2000044,27-07-2018,27-07-2018,03-08-2018,202 Adair Street REDAN  VIC  3350
Friday 2,2000045,27-07-2018,27-07-2018,03-08-2018,124 Adair Street REDAN  VIC  3350
Friday 2,2000046,27-07-2018,27-07-2018,03-08-2018,122 Adair Street REDAN  VIC  3350
Friday 2,2000048,27-07-2018,27-07-2018,03-08-2018,118 Adair Street REDAN  VIC  3350
Friday 2,2000049,27-07-2018,27-07-2018,,116 Adair Street REDAN  VIC  3350
Friday 2,2000050,27-07-2018,27-07-2018,,5/110 Adair Street REDAN  VIC  3350
Friday 2,2000052,27-07-2018,27-07-2018,,3/110 Adair Street REDAN  VIC  3350
Friday 2,2000053,27-07-2018,27-07-2018,,2/110 Adair Street REDAN  VIC  3350
Friday 2,2000054,27-07-2018,27-07-2018,,1/110 Adair Street REDAN  VIC  3350
Friday 2,2000055,27-07-2018,27-07-2018,03-08-2018,108 Adair Street REDAN  VIC  3350
Tuesday 1,2000057,31-07-2018,31-07-2018,07-08-2018,104 Adair Street REDAN  VIC  3350
Tuesday 1,2000062,31-07-2018,31-07-2018,07-08-2018,2 Adair Street REDAN  VIC  3350
Monday 1,2000063,30-07-2018,30-07-2018,,1/1 Adela Street WENDOUREE  VIC  3355
Monday 1,2000064,30-07-2018,30-07-2018,,2/1 Adela Street WENDOUREE  VIC  3355
Monday 1,2000066,30-07-2018,30-07-2018,06-08-2018,5 Adela Street WENDOUREE  VIC  3355
Monday 1,2000067,30-07-2018,30-07-2018,06-08-2018,7 Adela Street WENDOUREE  VIC  3355
Monday 1,2000068,30-07-2018,30-07-2018,06-08-2018,9 Adela Street WENDOUREE  VIC  3355
Monday 1,2000069,30-07-2018,30-07-2018,06-08-2018,11 Adela Street WENDOUREE  VIC  3355
Monday 1,2000070,30-07-2018,30-07-2018,06-08-2018,13 Adela Street WENDOUREE  VIC  3355
Monday 1,2000071,30-07-2018,30-07-2018,06-08-2018,15 Adela Street WENDOUREE  VIC  3355
Monday 1,2000072,30-07-2018,30-07-2018,06-08-2018,14 Adela Street WENDOUREE  VIC  3355
Monday 1,2000073,30-07-2018,30-07-2018,06-08-2018,12 Adela Street WENDOUREE  VIC  3355
Monday 1,2000074,30-07-2018,30-07-2018,06-08-2018,10 Adela Street WENDOUREE  VIC  3355
Monday 1,2000075,30-07-2018,30-07-2018,06-08-2018,8 Adela Street WENDOUREE  VIC  3355
Monday 1,2000076,30-07-2018,30-07-2018,06-08-2018,6 Adela Street WENDOUREE  VIC  3355
Monday 1,2000077,30-07-2018,30-07-2018,06-08-2018,4 Adela Street WENDOUREE  VIC  3355
Monday 1,2000078,30-07-2018,30-07-2018,06-08-2018,2 Adela Street WENDOUREE  VIC  3355
Thursday 2,2000079,26-07-2018,26-07-2018,02-08-2018,1 Ainley Street BROWN HILL  VIC  3350
Thursday 2,2000081,26-07-2018,26-07-2018,02-08-2018,5 Ainley Street BROWN HILL  VIC  3350
Thursday 2,2000082,26-07-2018,26-07-2018,02-08-2018,9 Ainley Street BROWN HILL  VIC  3350
Thursday 2,2000083,26-07-2018,26-07-2018,02-08-2018,11 Ainley Street BROWN HILL  VIC  3350
Thursday 2,2000084,26-07-2018,26-07-2018,02-08-2018,13 Ainley Street BROWN HILL  VIC  3350
Thursday 2,2000085,26-07-2018,26-07-2018,02-08-2018,15 Ainley Street BROWN HILL  VIC  3350
Thursday 2,2000086,26-07-2018,26-07-2018,02-08-2018,17 Ainley Street BROWN HILL  VIC  3350
Thursday 2,2000087,26-07-2018,26-07-2018,02-08-2018,19 Ainley Street BROWN HILL  VIC  3350
Thursday 2,2000091,26-07-2018,26-07-2018,02-08-2018,23 Ainley Street BROWN HILL  VIC  3350
Thursday 2,2000093,26-07-2018,26-07-2018,02-08-2018,20 Ainley Street BROWN HILL  VIC  3350
Thursday 2,2000094,26-07-2018,26-07-2018,02-08-2018,18 Ainley Street BROWN HILL  VIC  3350
Thursday 2,2000095,26-07-2018,26-07-2018,02-08-2018,16 Ainley Street BROWN HILL  VIC  3350
Thursday 2,2000096,26-07-2018,26-07-2018,02-08-2018,14 Ainley Street BROWN HILL  VIC  3350
Thursday 2,2000097,26-07-2018,26-07-2018,02-08-2018,12 Ainley Street BROWN HILL  VIC  3350
Thursday 2,2000098,26-07-2018,26-07-2018,02-08-2018,10 Ainley Street BROWN HILL  VIC  3350
Tuesday 1,2000100,31-07-2018,31-07-2018,07-08-2018,1 Ajax Street NEWINGTON  VIC  3350
Tuesday 1,2000101,31-07-2018,31-07-2018,07-08-2018,3 Ajax Street NEWINGTON  VIC  3350
Tuesday 1,2000102,31-07-2018,31-07-2018,07-08-2018,5 Ajax Street NEWINGTON  VIC  3350
Tuesday 1,2000104,31-07-2018,31-07-2018,07-08-2018,9 Ajax Street NEWINGTON  VIC  3350
Tuesday 1,2000105,31-07-2018,31-07-2018,07-08-2018,11 Ajax Street NEWINGTON  VIC  3350
Tuesday 1,2000106,31-07-2018,31-07-2018,07-08-2018,13 Ajax Street NEWINGTON  VIC  3350
Tuesday 1,2000107,31-07-2018,31-07-2018,07-08-2018,15 Ajax Street NEWINGTON  VIC  3350
Tuesday 1,2000108,31-07-2018,31-07-2018,07-08-2018,17 Ajax Street NEWINGTON  VIC  3350
Tuesday 1,2000109,31-07-2018,31-07-2018,07-08-2018,19 Ajax Street NEWINGTON  VIC  3350
Tuesday 1,2000110,31-07-2018,31-07-2018,07-08-2018,21 Ajax Street NEWINGTON  VIC  3350
Tuesday 1,2000111,31-07-2018,31-07-2018,07-08-2018,23 Ajax Street NEWINGTON  VIC  3350
Tuesday 1,2000112,31-07-2018,31-07-2018,,24 Ajax Street NEWINGTON  VIC  3350
Tuesday 1,2000113,31-07-2018,31-07-2018,,22 Ajax Street NEWINGTON  VIC  3350
Tuesday 1,2000115,31-07-2018,31-07-2018,,18 Ajax Street NEWINGTON  VIC  3350
Tuesday 1,2000116,31-07-2018,31-07-2018,07-08-2018,16 Ajax Street NEWINGTON  VIC  3350
Tuesday 1,2000117,31-07-2018,31-07-2018,07-08-2018,14 Ajax Street NEWINGTON  VIC  3350
Tuesday 1,2000120,31-07-2018,31-07-2018,07-08-2018,8 Ajax Street NEWINGTON  VIC  3350
Tuesday 1,2000121,31-07-2018,31-07-2018,07-08-2018,6 Ajax Street NEWINGTON  VIC  3350
Tuesday 1,2000124,31-07-2018,31-07-2018,07-08-2018,2A Ajax Street NEWINGTON  VIC  3350
Tuesday 1,2000125,31-07-2018,31-07-2018,07-08-2018,3 Albany Close ALFREDTON  VIC  3350
Tuesday 1,2000126,31-07-2018,31-07-2018,07-08-2018,5 Albany Close ALFREDTON  VIC  3350
Tuesday 1,2000127,31-07-2018,31-07-2018,07-08-2018,6 Albany Close ALFREDTON  VIC  3350
Tuesday 1,2000129,31-07-2018,31-07-2018,07-08-2018,2 Albany Close ALFREDTON  VIC  3350
Friday 1,2000132,27-07-2018,03-08-2018,,21 Albert Street SEBASTOPOL  VIC  3356
Friday 1,2000141,27-07-2018,03-08-2018,27-07-2018,39 Albert Street SEBASTOPOL  VIC  3356
Friday 1,2000145,27-07-2018,03-08-2018,27-07-2018,43 Albert Street SEBASTOPOL  VIC  3356
Friday 1,2000146,27-07-2018,03-08-2018,27-07-2018,45 Albert Street SEBASTOPOL  VIC  3356
Friday 1,2000159,27-07-2018,03-08-2018,27-07-2018,71 Albert Street SEBASTOPOL  VIC  3356
Friday 1,2000160,27-07-2018,03-08-2018,,73 Albert Street SEBASTOPOL  VIC  3356
